Company,Market segment,Department / purpose,Email address(es),Phone / other direct contact,Region,Notes,Confidence,Source label,Source URL,Suggested emails for outreach
Markforged,Industrial composite/metal FDM,Investor relations,investors@markforged.com,,Global,Official IR pages/press releases.,High,Official company page,https://investors.markforged.com/,press@markforged.com; investors@markforged.com; NAsales@markforged.com
Markforged,Industrial composite/metal FDM,Legal notices,legal@markforged.com,,Global,Official legal notice page.,High,Official company page,https://markforged.com/legal,press@markforged.com; investors@markforged.com; NAsales@markforged.com
Stratasys,Industrial polymer AM,Americas FDM technical support,FDM.support.us@stratasys.com,+1-800-801-6491,Americas,Official support/locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations-and-support/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,Americas PolyJet technical support,Polyjet.support.us@stratasys.com,+1-800-801-6491,Americas,Official support/locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations-and-support/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,Americas P3 technical support,P3.Support.US@Stratasys.com,+1-800-801-6491,Americas,Official support/locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations-and-support/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,Americas SL technical support,SL.Support.US@Stratasys.com,+1-800-801-6491,Americas,Official support/locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations-and-support/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,Americas SAF technical support,SAF.Support.US@Stratasys.com,+1-800-801-6491,Americas,Official support/locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations-and-support/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,Direct Manufacturing worldwide,,+1 888-311-1017,Worldwide,Official support/locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations-and-support/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,US headquarters,,+1-952-937-3000,United States,Official office locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,Israel headquarters,,+972-74-745-4000,Israel,Official office locations page.,High,Official company page,https://www.stratasys.com/en/contact-us/office-locations/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
Stratasys,Industrial polymer AM,Investor / PR contacts,,+1 651 357 0877; +972 74 745 6053; +91 80 6746 2606; +972 74 745 4919,Global,Official investor press release lists PR and IR phone contacts.,High,Official press release,https://investors.stratasys.com/news-events/press-releases/,FDM.support.us@stratasys.com; Polyjet.support.us@stratasys.com; P3.Support.US@Stratasys.com
3D Systems,Industrial polymer/metal AM,Media / press,press@3dsystems.com,,Global,Official press/IR releases list media contact.,High,Official company page,https://investor.3dsystems.com/news-events/press-releases,press@3dsystems.com; Support@3DSystems.com; AMS_3DXpert_Support@Oqton.com
3D Systems,Industrial polymer/metal AM,Investor relations,investor.relations@3dsystems.com,803-326-3907,Global,Official investor relations pages.,High,Official company page,https://investor.3dsystems.com/contact-us,press@3dsystems.com; Support@3DSystems.com; AMS_3DXpert_Support@Oqton.com
3D Systems,Industrial polymer/metal AM,Service / support,Support@3DSystems.com,+1 888.598.1438; +1 803.326.3930,US/global,Official service/support page.,High,Official company page,https://support.3dsystems.com/s/,press@3dsystems.com; Support@3DSystems.com; AMS_3DXpert_Support@Oqton.com
3D Systems,Industrial polymer/metal AM,3DXpert software support - Americas,AMS_3DXpert_Support@Oqton.com,,Americas,Official software support page.,High,Official company page,https://support.3dsystems.com/s/article/3DXpert-Support-Contacts,press@3dsystems.com; Support@3DSystems.com; AMS_3DXpert_Support@Oqton.com
3D Systems,Industrial polymer/metal AM,3DXpert software support - EMEA,EMEA_3DXpert_Support@Oqton.com,,EMEA,Official software support page.,High,Official company page,https://support.3dsystems.com/s/article/3DXpert-Support-Contacts,press@3dsystems.com; Support@3DSystems.com; AMS_3DXpert_Support@Oqton.com
3D Systems,Industrial polymer/metal AM,3DXpert software support - APAC,APAC_3DXpert_Support@Oqton.com,,APAC,Official software support page.,High,Official company page,https://support.3dsystems.com/s/article/3DXpert-Support-Contacts,press@3dsystems.com; Support@3DSystems.com; AMS_3DXpert_Support@Oqton.com
3D Systems,Industrial polymer/metal AM,3D Sprint software support,infocenterhelp@3dsystems.com,,Global,Official software support page.,High,Official company page,https://support.3dsystems.com/s/,press@3dsystems.com; Support@3DSystems.com; AMS_3DXpert_Support@Oqton.com
HP 3D Printing,Industrial polymer/metal AM,3D Printing Solutions contact,,,Global,Official HP 3D Printing contact page uses inquiry forms and call-us flow; no direct email retrieved.,High,Official company page,https://www.hp.com/us-en/printers/3d-printers/contact-us.html,
HP 3D Printing,Industrial polymer/metal AM,Corporate office,,+1 650-857-1501,"Palo Alto, California",Official HP office locations page.,High,Official company page,https://www.hp.com/us-en/contact-hp/office-locations.html,
HP 3D Printing,Industrial polymer/metal AM,Jet Fusion service bureau contact,,,Global,Official HP materials/service-bureau page points users to HP 3D contact form.,High,Official company page,https://www.hp.com/us-en/printers/3d-printers/materials.html,
Nano Dimension / Desktop Metal,Industrial electronics/metal/binder jet AM,Media / PR,pr@nano-di.com,+1 617 714 9530,Global / US,Nano Dimension contact/IR pages; Nano acquired Desktop Metal in 2025.,High,Official company page,https://www.nano-di.com/contact,pr@nano-di.com; contact@nano-di.com; support@nano-di.com
Nano Dimension / Desktop Metal,Industrial electronics/metal/binder jet AM,Investor relations,ir@nano-di.com,+1 617 714 9530,Global / US,Official Nano Dimension IR FAQ/contact.,High,Official company page,https://investors.nano-di.com/contact-ir/,pr@nano-di.com; contact@nano-di.com; support@nano-di.com
Nano Dimension / Desktop Metal,Industrial electronics/metal/binder jet AM,General contact,contact@nano-di.com,+1 617 714 9530,Global / US,Official Nano Dimension IR FAQ/contact.,High,Official company page,https://investors.nano-di.com/contact-ir/,pr@nano-di.com; contact@nano-di.com; support@nano-di.com
Nano Dimension / Desktop Metal,Industrial electronics/metal/binder jet AM,Support,support@nano-di.com,+1 (856) 218 1131,Global / US,Official Nano support page.,High,Official company page,https://www.nano-di.com/support,pr@nano-di.com; contact@nano-di.com; support@nano-di.com
Nano Dimension / Desktop Metal,Industrial electronics/metal/binder jet AM,Desktop Metal sales / press inquiries,,,Global,Desktop Metal page uses contact sales and press inquiry forms; direct current emails not retrieved from official source.,High,Official company page,https://www.desktopmetal.com/contact,pr@nano-di.com; contact@nano-di.com; support@nano-di.com
Nexa3D,Professional/industrial polymer AM,Sales,sales@nexa3d.com,(805) 465-9001,US/global,Official contact page.,High,Official company page,https://nexa3d.com/contact-us/,sales@nexa3d.com; eu-sales@nexa3d.com; support@i-am-marketplace.com
Nexa3D,Professional/industrial polymer AM,Europe sales,eu-sales@nexa3d.com,+45 32 11 90 70,Europe,Official contact page.,High,Official company page,https://nexa3d.com/contact-us/,sales@nexa3d.com; eu-sales@nexa3d.com; support@i-am-marketplace.com
Nexa3D,Professional/industrial polymer AM,Support transition,support@i-am-marketplace.com,,Global,Official support center notice says new support requests go to this address after July 1.,High,Official support notice,https://nexa3d.com/support/,sales@nexa3d.com; eu-sales@nexa3d.com; support@i-am-marketplace.com
Carbon,Professional/industrial DLS/resin,Media / press,pr@carbon3d.com,,Global,Official contact page.,High,Official company page,https://www.carbon3d.com/contact,pr@carbon3d.com; support@carbon3d.com
Carbon,Professional/industrial DLS/resin,Support,support@carbon3d.com,North America: 1 (650) 285-6307 ext. 2; Germany: +49 6102 5790849; UK: +44 (0) 2082 647484,North America / Europe,Official support page.,High,Official company page,https://support.carbon3d.com/,pr@carbon3d.com; support@carbon3d.com
Carbon,Professional/industrial DLS/resin,Privacy/data requests,privacy@carbon3d.com,+1 (888) 344-3009,Global,Official privacy page.,High,Official company page,https://www.carbon3d.com/privacy-policy,pr@carbon3d.com; support@carbon3d.com
EOS,Industrial metal/polymer AM,General HQ,info@eos.info,+49 89 893 36 0,Germany / global,Official locations/imprint pages.,High,Official company page,https://www.eos.info/en/contact/locations,claudia.rupp@eos.info; press@eos.info; info@eos.info
EOS,Industrial metal/polymer AM,North America,,+1 877 388 7916,North America,Official locations page.,High,Official company page,https://www.eos.info/en/contact/locations,claudia.rupp@eos.info; press@eos.info; info@eos.info
EOS,Industrial metal/polymer AM,Press,press@eos.info,,Global,Official press pages instruct press questions to this email.,High,Official company page,https://www.eos.info/en/press,claudia.rupp@eos.info; press@eos.info; info@eos.info
EOS,Industrial metal/polymer AM,Global Marketing & Communications,claudia.rupp@eos.info,+49 174 6982565,Global,Official 2026 press release lists named public EOS contact.,High,Official press release,https://www.eos.info/en/press,claudia.rupp@eos.info; press@eos.info; info@eos.info
EOS,Industrial metal/polymer AM,Recruiting,recruiting@eos.info,+49 89 89336 2931,Germany/global,Official recruiting contact page.,High,Official company page,https://www.eos.info/en/careers/contact,claudia.rupp@eos.info; press@eos.info; info@eos.info
EOS,Industrial metal/polymer AM,Data protection officer,dpo@eos.info,,EU/global,Official privacy/imprint pages.,High,Official company page,https://www.eos.info/en/privacy-policy,claudia.rupp@eos.info; press@eos.info; info@eos.info
Velo3D,Industrial metal AM,Corporate / HQ,,408-610-3915,United States,Official IR/contact pages list HQ phone.,High,Official company page,https://ir.velo3d.com/company-information,james@haydenir.com; investors@velo3d.com
Velo3D,Industrial metal AM,Investor relations,investors@velo3d.com,408-610-3915,Global,Official IR page.,High,Official company page,https://ir.velo3d.com/company-information,james@haydenir.com; investors@velo3d.com
Velo3D,Industrial metal AM,IR agency contact,james@haydenir.com,(646)-755-7412,Global,Official IR page lists Hayden IR contact.,High,Official company page,https://ir.velo3d.com/company-information,james@haydenir.com; investors@velo3d.com
Velo3D,Industrial metal AM,Press/news alerts,,,Global,Official IR site offers press-release email alerts via web form.,High,Official company page,https://ir.velo3d.com/news-events/press-releases,james@haydenir.com; investors@velo3d.com
Nikon SLM Solutions / Nikon AM,Industrial metal AM,Support,,,Global,Official contact page routes support through web contact flow; no direct support email retrieved.,High,Official company page,https://www.nikon-slm-solutions.com/contact/,
Nikon SLM Solutions / Nikon AM,Industrial metal AM,Press,,,Global,Official press pages route press inquiries through press team/form; no direct email retrieved.,High,Official company page,https://www.nikon-slm-solutions.com/press/,
Nikon Advanced Manufacturing,Industrial metal AM,Corporate status note,,,Global,Nikon consolidated SLM Solutions and other AM units under Nikon Advanced Manufacturing.,High,Official news/release,https://advancedmanufacturing.nikon.com/,
Materialise,Industrial 3D printing services/software,3D printing services - Belgium/Netherlands,projects@materialise.be,+32 16 39 62 72,Belgium / Netherlands,Official 3D printing services contact page.,High,Official company page,https://www.materialise.com/en/industrial/3d-printing-services/contact-us,investors@materialise.com; projects@materialise.be; projekty@materialise.cz
Materialise,Industrial 3D printing services/software,3D printing services - Czech/Slovakia,projekty@materialise.cz,+420 474 720 005,Czech Republic / Slovakia,Official 3D printing services contact page.,High,Official company page,https://www.materialise.com/en/industrial/3d-printing-services/contact-us,investors@materialise.com; projects@materialise.be; projekty@materialise.cz
Materialise,Industrial 3D printing services/software,3D printing services - France/Luxembourg,projet@materialise.fr,+33 4 75 25 99 10,France / Luxembourg,Official 3D printing services contact page.,High,Official company page,https://www.materialise.com/en/industrial/3d-printing-services/contact-us,investors@materialise.com; projects@materialise.be; projekty@materialise.cz
Materialise,Industrial 3D printing services/software,US industrial software,software@materialise.com,+1 734 259 6445; +1 888 662 5057,United States,Official US locations page.,High,Official company page,https://www.materialise.com/de/uber-uns/standorte/united-states,investors@materialise.com; projects@materialise.be; projekty@materialise.cz
Materialise,Industrial 3D printing services/software,US healthcare software,mimics@materialise.com,+1 734 259 6445; +1 888 662 5057,United States,Official US locations page.,High,Official company page,https://www.materialise.com/de/uber-uns/standorte/united-states,investors@materialise.com; projects@materialise.be; projekty@materialise.cz
Materialise,Industrial 3D printing services/software,Media requests,,,Global,Official media contact page uses a press-team request form; no direct email shown in retrieved source.,High,Official company page,https://www.materialise.com/en/contact/media,investors@materialise.com; projects@materialise.be; projekty@materialise.cz
Materialise,Industrial 3D printing services/software,Investor relations,investors@materialise.com,,Global,Official investor press releases list investor contact email.,High,Official IR/release,https://investors.materialise.com/,investors@materialise.com; projects@materialise.be; projekty@materialise.cz
BigRep,Large-format industrial FDM,Berlin office,,+49 30 20 84 82 60,Germany / global,Official contact page.,High,Official company page,https://bigrep.com/contact/,marketing@bigrep.com
BigRep,Large-format industrial FDM,Sales direct,,+49 30 20 84 82 635,Germany / global,Official contact page.,High,Official company page,https://bigrep.com/contact/,marketing@bigrep.com
BigRep,Large-format industrial FDM,USA & Canada,,+1 781 281 0569,US / Canada,Official contact page.,High,Official company page,https://bigrep.com/contact/,marketing@bigrep.com
BigRep,Large-format industrial FDM,APAC,,+65 909 8196 / +65 9793 2515,APAC,Official contact page.,High,Official company page,https://bigrep.com/contact/,marketing@bigrep.com
BigRep,Large-format industrial FDM,Press,marketing@bigrep.com,,Global,Official press/media page.,High,Official company page,https://bigrep.com/press-media/,marketing@bigrep.com
Renishaw Additive Manufacturing,Industrial metal AM,Additive manufacturing customer support,,,Global,Official support page routes customers through Renishaw offices/distributors and support packages; no direct email shown in retrieved source.,High,Official company page,https://www.renishaw.com/en/additive-manufacturing-global-customer-support--15264,robin.weston@renishaw.com
Renishaw Additive Manufacturing,Industrial metal AM,Press/marketing - additive manufacturing,robin.weston@renishaw.com,,Global,Listed in an industry article as Renishaw additive manufacturing marketing manager; not from current official page.,Low,Secondary source,https://www.metal-am.com/articles/renishaw-global-solutions-centres-for-metal-3d-printing/,robin.weston@renishaw.com
Colibrium Additive / GE Aerospace,Industrial metal AM,General inquiries,,,Global,Official Colibrium contact page uses a general inquiry form.,High,Official company page,https://www.colibriumadditive.com/contact-general,sebastian.tacke@ge.com
Colibrium Additive / GE Aerospace,Industrial metal AM,Customer support,,,Global,Official Colibrium site links to customer support/service request form.,High,Official company page,https://www.colibriumadditive.com/,sebastian.tacke@ge.com
Colibrium Additive / GE Aerospace,Industrial metal AM,Media inquiries,sebastian.tacke@ge.com,,Global,Official GE Aerospace rebrand press release lists media contact.,High,Official press release,https://www.geaerospace.com/news/press-releases/ge-additive-rebrands-colibrium-additive,sebastian.tacke@ge.com
Meltio,Industrial wire-laser metal AM,General / talk to expert / quotes / reseller / press,,+34 953 888 089; +1 (915) 282-3437,Global,Official contact page provides contact form with reasons including press and communications; HQ and regional phone numbers listed.,High,Official company page,https://meltio3d.com/contact-us/,miguel.aguayo@meltio3d.com
Meltio,Industrial wire-laser metal AM,EMEA,,+34 672 22 37 83,EMEA,Official contact page lists regional contact.,High,Official company page,https://meltio3d.com/contact-us/,miguel.aguayo@meltio3d.com
Meltio,Industrial wire-laser metal AM,"UK, Ireland & APAC",,+44 790 3816 978,UK / Ireland / APAC,Official contact page lists regional contact.,High,Official company page,https://meltio3d.com/contact-us/,miguel.aguayo@meltio3d.com
Meltio,Industrial wire-laser metal AM,Eastern Europe & DACH,,+48 514 867 666,Eastern Europe / DACH,Official contact page lists regional contact.,High,Official company page,https://meltio3d.com/contact-us/,miguel.aguayo@meltio3d.com
Meltio,Industrial wire-laser metal AM,Legal notice contact,miguel.aguayo@meltio3d.com,+34 953 888 089,Spain/global,Official legal notice/privacy pages.,High,Official legal/privacy page,https://meltio3d.com/legal-notice/,miguel.aguayo@meltio3d.com
Xact Metal,Industrial metal AM,Sales / general,info@xactmetal.com,+1-814-205-1505,Global / United States,Official sales/product pages.,High,Official company page,https://xactmetal.com/sales-2/,media@xactmetal.com; info@xactmetal.com
Xact Metal,Industrial metal AM,Media contact,media@xactmetal.com,,Global,Official news posts list media contact.,High,Official news post,https://xactmetal.com/xact-metal-announces-a-new-sales-partnership-first-production-partner-in-ohio-and-the-introduction-of-a-powder-handling-system/,media@xactmetal.com; info@xactmetal.com
Xact Metal,Industrial metal AM,Sales / application help / tech support / jobs,,,Global,Official contact page routes these reasons through form.,High,Official company page,https://xactmetal.com/contact/,media@xactmetal.com; info@xactmetal.com
SHINING 3D,3D scanners / dental / 3D printing ecosystem,Quote and reselling,sales@shining3d.com,+86-571-82999050; +49-711-28444089; +1 415-259-4787,APAC / EMEA / Americas,Official quote/contact and docs pages.,High,Official company page,https://www.shining3d.com/get-a-quote,marketing@shining3d.com; sales@shining3d.com
SHINING 3D,3D scanners / dental / 3D printing ecosystem,Marketing cooperation / press,marketing@shining3d.com,,Global,Official quote/support pages list marketing/press contact.,High,Official company page,https://www.shining3d.com/get-a-quote,marketing@shining3d.com; sales@shining3d.com
SHINING 3D,3D scanners / dental / 3D printing ecosystem,Aftersales / product support,,,Global,Official page routes aftersales/product support to support center.,High,Official company page,https://www.shining3d.com/support/our-support,marketing@shining3d.com; sales@shining3d.com
Lithoz,Industrial ceramic AM,Sales contact,sales@lithoz.com,+43 1 9346612 200,Global / Austria,Official contact page.,High,Official company page,https://www.lithoz.com/en/contact/,khofhansl@lithoz.com; sales@lithoz.com; office@lithoz.com
Lithoz,Industrial ceramic AM,Lithoz America / office,office@lithoz.com,+43 1 9346612 200,USA / Austria,Official USA contact page.,High,Official company page,https://www.lithoz.com/en/contact-usa/,khofhansl@lithoz.com; sales@lithoz.com; office@lithoz.com
Lithoz,Industrial ceramic AM,Press contact,khofhansl@lithoz.com,+43 1 9346612-221,Global / Austria,Listed in official/archived Lithoz press article; named contact may be dated.,Medium,Official news/press article,https://www.lithoz.com/en/ceramic-3d-printing-global-market-leader-lithoz-celebrates-10-years-of-leadership-in-quality-and-innovation/,khofhansl@lithoz.com; sales@lithoz.com; office@lithoz.com
